work_id,recommendation_id,mp_id,mp_name,work_name,category,sub_category,state,district,constituency,block,village,latitude,longitude,recommended_amount,sanctioned_amount,expenditure_amount,remaining_amount,recommendation_date,sanction_date,start_date,expected_completion_date,actual_completion_date,status,progress_percentage,implementing_agency_id,implementing_agency_name,document_count,photo_count,has_completion_certificate,source_type
MPL-2024-UP-004821,REC-2023-9901,MP-LS-17-084,Shri Ramakant Sharma (Hon'ble MP),"Construction of CC Road and Paver Works from Main Chowk to Panchayat Bhawan, Village Rampur",Rural Roads & Bridges,CC Road Construction,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Rampur,25.321,82.9765,4800000.0,4800000.0,4200000.0,600000.0,2023-08-10,2023-10-25,2023-11-15,2024-05-30,,Ongoing,45.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,2,1,False,DEMO/SYNTHETIC DATA
MPL-2024-UP-004822,REC-2023-9902,MP-LS-17-084,Shri Ramakant Sharma (Hon'ble MP),"Construction of Concrete CC Road from Main Chowk to Gram Panchayat Bhawan, Rampur",Rural Roads & Bridges,CC Road Construction,Uttar Pradesh,Varanasi,Varanasi,Kashi Vidyapeeth,Rampur,25.3235,82.978,4650000.0,4650000.0,3900000.0,750000.0,2023-09-02,2023-11-10,2023-12-01,2024-06-15,,Ongoing,40.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,2,1,False,DEMO/SYNTHETIC DATA
MPL-2024-MH-001890,REC-2023-7712,MP-LS-17-112,Smt. Anjali Kulkarni (Hon'ble MP),Construction of High-Capacity Piped Water Overhead Tank at Titwala,Drinking Water,Piped Water Overhead Tank,Maharashtra,Thane,Thane,Kalyan,Titwala,19.298,73.2085,2400000.0,2400000.0,2400000.0,0.0,2023-04-12,2023-06-18,2023-07-01,2024-02-28,2024-03-10,Completed,100.0,AGY-WSS-05,Public Health Engineering & Water Supply Dept,2,0,False,DEMO/SYNTHETIC DATA
MPL-2024-BR-003310,REC-2023-4419,MP-LS-17-045,Shri Rajeshwar Prasad (Hon'ble MP),Establishment of Primary Health Sub-Centre Building at Ranipur,Health & Sanitation,Primary Health Sub-Centre Building,Bihar,Patna,Patna Sahib,Phulwari Sharif,Ranipur,25.568,85.074,2800000.0,2800000.0,1900000.0,900000.0,2023-02-15,2023-05-10,2023-06-01,2023-12-31,,Ongoing,25.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,2,1,False,DEMO/SYNTHETIC DATA
MPL-2024-KE-000005,REC-2023-7421,MP-LS-17-73,Hon'ble Member of Parliament (Ernakulam),"Piped Water Overhead Tank at Cherai, Block Aluva",Drinking Water,Piped Water Overhead Tank,Kerala,Ernakulam,Ernakulam,Aluva,Cherai,9.9501,76.2819,1910000.0,1810000.0,1810000.0,0.0,2023-11-27,2023-12-18,2024-01-16,2024-10-31,2024-10-31,Completed,100.0,AGY-RWD-02,Rural Works Department (RWD) Engineering Wing,4,4,True,DEMO/SYNTHETIC DATA
MPL-2024-BI-000006,REC-2023-5510,MP-LS-17-39,Hon'ble Member of Parliament (Patna Sahib),"Senior Citizen Recreation Shed at Baikatpur, Block Fatuha",Community Infrastructure,Senior Citizen Recreation Shed,Bihar,Patna,Patna Sahib,Fatuha,Baikatpur,25.6708,85.1532,2760000.0,2760000.0,2760000.0,0.0,2023-04-28,2023-06-19,2023-07-02,2023-11-14,2023-11-12,Completed,100.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,4,2,True,DEMO/SYNTHETIC DATA
MPL-2024-AS-000007,REC-2023-6361,MP-LS-17-28,Hon'ble Member of Parliament (Gauhati),"School Boundary Wall & Sanitation at Mirza, Block Bezera",Education & Classrooms,School Boundary Wall & Sanitation,Assam,Kamrup,Gauhati,Bezera,Mirza,26.1518,91.7807,2970000.0,2970000.0,2970000.0,0.0,2023-11-01,2023-12-20,2024-01-10,2024-08-13,2024-08-24,Completed,100.0,AGY-DRDA-04,District Rural Development Agency (DRDA),5,2,True,DEMO/SYNTHETIC DATA
MPL-2024-RA-000008,REC-2023-9896,MP-LS-17-30,Hon'ble Member of Parliament (Jaipur Rural),"CC Road Construction at Manoharpur, Block Shahpura",Rural Roads & Bridges,CC Road Construction,Rajasthan,Jaipur,Jaipur Rural,Shahpura,Manoharpur,26.9009,75.7469,2630000.0,2630000.0,2630000.0,0.0,2023-11-04,2023-12-17,2024-01-16,2024-11-09,2024-11-19,Completed,100.0,AGY-DRDA-04,District Rural Development Agency (DRDA),4,3,True,DEMO/SYNTHETIC DATA
MPL-2024-AS-000009,REC-2023-9440,MP-LS-17-64,Hon'ble Member of Parliament (Gauhati),"RO Water Treatment Plant at Sualkuchi, Block Chaygaon",Drinking Water,RO Water Treatment Plant,Assam,Kamrup,Gauhati,Chaygaon,Sualkuchi,26.1356,91.7874,2390000.0,2390000.0,2390000.0,0.0,2023-02-07,2023-03-23,2023-04-08,2023-09-12,2023-09-26,Completed,100.0,AGY-RWD-02,Rural Works Department (RWD) Engineering Wing,5,2,True,DEMO/SYNTHETIC DATA
MPL-2024-RA-000010,REC-2023-4810,MP-LS-17-12,Hon'ble Member of Parliament (Jaipur Rural),"Hand Pump Installation Cluster at Kukas, Block Shahpura",Drinking Water,Hand Pump Installation Cluster,Rajasthan,Jaipur,Jaipur Rural,Shahpura,Kukas,26.9449,75.8209,970000.0,920000.0,920000.0,0.0,2023-06-25,2023-08-17,2023-08-30,2024-04-27,2024-05-09,Completed,100.0,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,5,4,True,DEMO/SYNTHETIC DATA
MPL-2024-KE-000011,REC-2023-7520,MP-LS-17-47,Hon'ble Member of Parliament (Ernakulam),"Health Diagnostic Equipment at Kalamassery, Block Muvattupuzha",Health & Sanitation,Health Diagnostic Equipment,Kerala,Ernakulam,Ernakulam,Muvattupuzha,Kalamassery,10.0048,76.2446,1590000.0,1540000.0,584000.0,956000.0,2023-09-16,2023-11-14,2023-11-25,2024-08-27,,Ongoing,40.0,AGY-WSS-05,Public Health Engineering & Water Supply Dept,3,1,False,DEMO/SYNTHETIC DATA
MPL-2024-AS-000012,REC-2023-4721,MP-LS-17-50,Hon'ble Member of Parliament (Gauhati),"Hand Pump Installation Cluster at Mirza, Block Kamalpur",Drinking Water,Hand Pump Installation Cluster,Assam,Kamrup,Gauhati,Kamalpur,Mirza,26.0877,91.732,1010000.0,860000.0,362000.0,498000.0,2023-12-02,2024-01-30,2024-02-10,2024-08-21,,Ongoing,46.0,AGY-DRDA-04,District Rural Development Agency (DRDA),4,1,False,DEMO/SYNTHETIC DATA
MPL-2024-RA-000013,REC-2023-7348,MP-LS-17-60,Hon'ble Member of Parliament (Jaipur Rural),"School Boundary Wall & Sanitation at Achrol, Block Sanganer",Education & Classrooms,School Boundary Wall & Sanitation,Rajasthan,Jaipur,Jaipur Rural,Sanganer,Achrol,26.9847,75.7892,2950000.0,2900000.0,1351000.0,1549000.0,2023-04-01,2023-05-07,2023-05-27,2024-03-02,,Ongoing,43.0,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,2,1,False,DEMO/SYNTHETIC DATA
MPL-2024-MA-000014,REC-2023-6725,MP-LS-17-65,Hon'ble Member of Parliament (Thane),"Primary Health Sub-Centre Building at Padgha, Block Kalyan",Health & Sanitation,Primary Health Sub-Centre Building,Maharashtra,Thane,Thane,Kalyan,Padgha,19.1412,72.9896,2600000.0,2500000.0,2500000.0,0.0,2023-10-04,2023-11-17,2023-12-15,2024-09-08,2024-08-25,Completed,100.0,AGY-ZP-03,Zila Parishad Rural Infrastructure Cell,4,2,True,DEMO/SYNTHETIC DATA
MPL-2024-BI-000015,REC-2023-6827,MP-LS-17-34,Hon'ble Member of Parliament (Patna Sahib),"Deep Borewell & Solar Pump System at Gauri Chak, Block Danapur",Drinking Water,Deep Borewell & Solar Pump System,Bihar,Patna,Patna Sahib,Danapur,Gauri Chak,25.5246,85.1496,2110000.0,2110000.0,1024000.0,1086000.0,2023-09-27,2023-11-17,2023-12-17,2024-07-07,,Ongoing,49.0,AGY-XYZ-99,XYZ Infrastructure & Construction Private Ltd,4,1,False,DEMO/SYNTHETIC DATA
MPL-2024-MA-000016,REC-2023-1985,MP-LS-17-65,Hon'ble Member of Parliament (Thane),"CC Road Construction at Padgha, Block Kalyan",Rural Roads & Bridges,CC Road Construction,Maharashtra,Thane,Thane,Kalyan,Padgha,19.1434,73.0335,2980000.0,2930000.0,1852000.0,1078000.0,2023-11-28,2023-12-18,2024-01-14,2024-06-20,,Ongoing,66.0,AGY-DRDA-04,District Rural Development Agency (DRDA),3,3,False,DEMO/SYNTHETIC DATA
